Fecha,Producto,Cantidad,Precio Unitario,Total Venta
9/7/2023,Electrónic,7,200,1400
2/7/2023,Electrónic,4,200,800
10/26/2023,Ropa,3,50,150
4/14/2023,Libros,8,20,160
3/5/2023,Alimentos,5,10,50
12/15/2023,Juguetes,7,30,210
9/14/2023,Juguetes,3,30,90
10/12/2023,Juguetes,1,30,30
7/18/2023,Alimentos,7,10,70
7/27/2023,Juguetes,2,30,60
5/25/2023,Electrónic,6,200,1200
10/3/2023,Electrónic,6,200,1200
11/27/2023,Libros,3,20,60
6/24/2023,Libros,10,20,200
3/5/2023,Juguetes,3,30,90
6/29/2023,Ropa,3,50,150
2/24/2023,Libros,4,20,80
1/30/2023,Electrónic,3,200,600
10/4/2023,Juguetes,2,30,60
10/6/2023,Ropa,3,50,150
6/24/2023,Electrónic,7,200,1400
4/20/2023,Ropa,7,50,350
3/10/2023,Electrónic,2,200,400
1/5/2023,Ropa,3,50,150
5/29/2023,Juguetes,7,30,210
8/8/2023,Juguetes,1,30,30
8/9/2023,Juguetes,9,30,270
12/18/2023,Ropa,1,50,50
9/17/2023,Alimentos,7,10,70
2/5/2023,Alimentos,5,10,50
10/24/2023,Alimentos,7,10,70
10/17/2023,Electrónic,3,200,600
12/28/2023,Ropa,5,50,250
11/5/2023,Electrónic,7,200,1400
7/8/2023,Juguetes,5,30,150
1/31/2023,Ropa,1,50,50
7/17/2023,Alimentos,5,10,50
8/13/2023,Alimentos,7,10,70
10/5/2023,Juguetes,4,30,120
10/8/2023,Ropa,8,50,400
7/13/2023,Juguetes,2,30,60
1/14/2023,Alimentos,10,10,100
3/19/2023,Electrónic,6,200,1200
6/1/2023,Alimentos,2,10,20
3/17/2023,Ropa,1,50,50
1/10/2023,Juguetes,5,30,150
11/21/2023,Juguetes,9,30,270
12/14/2023,Juguetes,1,30,30
5/19/2023,Libros,8,20,160
2/26/2023,Electrónic,4,200,800
6/9/2023,Libros,2,20,40
1/7/2023,Libros,2,20,40
10/4/2023,Libros,1,20,20
4/15/2023,Alimentos,10,10,100
10/2/2023,Juguetes,10,30,300
7/1/2023,Alimentos,8,10,80
12/27/2023,Ropa,8,50,400
10/24/2023,Ropa,10,50,500
1/22/2023,Electrónic,4,200,800
2/3/2023,Alimentos,4,10,40
9/23/2023,Libros,8,20,160
5/28/2023,Juguetes,5,30,150
8/19/2023,Alimentos,8,10,80
11/22/2023,Alimentos,7,10,70
12/23/2023,Ropa,1,50,50
12/12/2023,Juguetes,7,30,210
6/29/2023,Alimentos,10,10,100
6/27/2023,Juguetes,10,30,300
11/26/2023,Libros,8,20,160
6/22/2023,Juguetes,3,30,90
5/17/2023,Juguetes,7,30,210
7/23/2023,Ropa,9,50,450
8/29/2023,Electrónic,3,200,600
5/21/2023,Alimentos,6,10,60
7/31/2023,Ropa,5,50,250
3/5/2023,Ropa,1,50,50
10/26/2023,Juguetes,1,30,30
4/10/2023,Alimentos,5,10,50
1/26/2023,Electrónic,10,200,2000
12/13/2023,Ropa,10,50,500
1/19/2023,Electrónic,10,200,2000
7/9/2023,Electrónic,3,200,600
10/1/2023,Alimentos,2,10,20
8/19/2023,Electrónic,8,200,1600
7/3/2023,Alimentos,2,10,20
8/19/2023,Electrónic,2,200,400
8/1/2023,Libros,3,20,60
4/3/2023,Alimentos,1,10,10
7/8/2023,Ropa,8,50,400
8/27/2023,Electrónic,2,200,400
2/11/2023,Libros,3,20,60
11/19/2023,Juguetes,2,30,60
1/6/2023,Libros,1,20,20
5/30/2023,Electrónic,5,200,1000
7/12/2023,Juguetes,3,30,90
6/26/2023,Electrónic,4,200,800
12/1/2023,Ropa,7,50,350
4/21/2023,Electrónic,5,200,1000
12/2/2023,Electrónic,6,200,1200
5/14/2023,Juguetes,8,30,240
1/2/2023,Libros,6,20,120
4/27/2023,Electrónic,3,200,600
9/7/2023,Libros,9,20,180
8/3/2023,Electrónic,6,200,1200
3/6/2023,Ropa,2,50,100
7/4/2023,Electrónic,3,200,600
9/20/2023,Juguetes,3,30,90
9/26/2023,Alimentos,10,10,100
11/9/2023,Ropa,1,50,50
7/8/2023,Ropa,3,50,150
9/14/2023,Electrónic,1,200,200
7/5/2023,Juguetes,4,30,120
11/5/2023,Libros,6,20,120
7/14/2023,Alimentos,6,10,60
8/17/2023,Libros,4,20,80
12/6/2023,Electrónic,9,200,1800
6/2/2023,Libros,8,20,160
2/28/2023,Electrónic,5,200,1000
4/24/2023,Libros,10,20,200
9/4/2023,Libros,5,20,100
10/5/2023,Alimentos,7,10,70
1/5/2023,Ropa,1,50,50
3/1/2023,Electrónic,4,200,800
8/9/2023,Electrónic,8,200,1600
9/1/2023,Ropa,7,50,350
7/12/2023,Alimentos,7,10,70
7/12/2023,Ropa,6,50,300
1/15/2023,Ropa,6,50,300
12/6/2023,Juguetes,1,30,30
10/24/2023,Juguetes,10,30,300
5/1/2023,Alimentos,2,10,20
11/21/2023,Libros,8,20,160
3/6/2023,Ropa,4,50,200
4/8/2023,Juguetes,9,30,270
4/19/2023,Juguetes,9,30,270
4/30/2023,Electrónic,7,200,1400
1/27/2023,Libros,1,20,20
3/30/2023,Libros,5,20,100
10/23/2023,Libros,3,20,60
10/26/2023,Ropa,3,50,150
3/11/2023,Juguetes,1,30,30
4/4/2023,Juguetes,5,30,150
12/19/2023,Juguetes,9,30,270
5/1/2023,Libros,2,20,40
12/23/2023,Electrónic,4,200,800
8/22/2023,Libros,2,20,40
1/9/2023,Ropa,9,50,450
9/18/2023,Ropa,10,50,500
7/28/2023,Libros,2,20,40
7/26/2023,Electrónic,7,200,1400
10/29/2023,Libros,4,20,80
11/4/2023,Juguetes,8,30,240
7/14/2023,Alimentos,4,10,40
8/9/2023,Libros,8,20,160
9/19/2023,Juguetes,4,30,120
2/7/2023,Alimentos,8,10,80
3/19/2023,Juguetes,3,30,90
9/13/2023,Alimentos,5,10,50
12/27/2023,Libros,4,20,80
4/10/2023,Ropa,5,50,250
6/30/2023,Electrónic,7,200,1400
1/31/2023,Electrónic,7,200,1400
11/29/2023,Alimentos,7,10,70
8/12/2023,Alimentos,6,10,60
2/14/2023,Ropa,3,50,150
12/2/2023,Juguetes,6,30,180
8/5/2023,Juguetes,10,30,300
7/21/2023,Alimentos,5,10,50
5/22/2023,Libros,10,20,200
5/17/2023,Alimentos,1,10,10
9/28/2023,Electrónic,6,200,1200
7/20/2023,Electrónic,7,200,1400
3/16/2023,Electrónic,1,200,200
5/8/2023,Electrónic,2,200,400
7/21/2023,Ropa,3,50,150
9/27/2023,Electrónic,8,200,1600
8/24/2023,Electrónic,7,200,1400
7/30/2023,Juguetes,7,30,210
6/27/2023,Libros,7,20,140
12/14/2023,Juguetes,6,30,180
5/2/2023,Alimentos,3,10,30
10/6/2023,Libros,7,20,140
12/13/2023,Alimentos,9,10,90
8/10/2023,Ropa,7,50,350
9/22/2023,Electrónic,5,200,1000
9/3/2023,Electrónic,7,200,1400
5/4/2023,Electrónic,5,200,1000
2/10/2023,Alimentos,3,10,30
6/13/2023,Alimentos,1,10,10
7/27/2023,Electrónic,6,200,1200
4/8/2023,Libros,1,20,20
2/7/2023,Alimentos,1,10,10
2/23/2023,Alimentos,10,10,100
8/20/2023,Libros,9,20,180
2/12/2023,Alimentos,8,10,80
11/3/2023,Ropa,2,50,100
5/27/2023,Electrónic,10,200,2000
4/11/2023,Alimentos,6,10,60
12/3/2023,Alimentos,5,10,50
12/28/2023,Alimentos,9,10,90
7/21/2023,Ropa,10,50,500
8/29/2023,Electrónic,6,200,1200
12/20/2023,Libros,5,20,100
2/19/2023,Electrónic,4,200,800
1/6/2023,Libros,1,20,20
7/2/2023,Juguetes,3,30,90
12/3/2023,Alimentos,1,10,10
5/11/2023,Electrónic,7,200,1400
3/29/2023,Libros,9,20,180
10/29/2023,Juguetes,2,30,60
4/23/2023,Juguetes,10,30,300
7/25/2023,Juguetes,7,30,210
12/5/2023,Electrónic,9,200,1800
7/10/2023,Alimentos,10,10,100
11/13/2023,Libros,9,20,180
7/26/2023,Ropa,10,50,500
8/29/2023,Electrónic,8,200,1600
1/11/2023,Libros,8,20,160
12/20/2023,Juguetes,4,30,120
3/25/2023,Libros,7,20,140
3/23/2023,Ropa,8,50,400
5/18/2023,Juguetes,5,30,150
8/2/2023,Electrónic,2,200,400
12/11/2023,Ropa,5,50,250
2/1/2023,Juguetes,9,30,270
12/12/2023,Alimentos,10,10,100
2/9/2023,Electrónic,10,200,2000
12/24/2023,Libros,8,20,160
9/6/2023,Alimentos,6,10,60
8/28/2023,Ropa,6,50,300
1/15/2023,Ropa,2,50,100
5/4/2023,Ropa,1,50,50
6/29/2023,Ropa,4,50,200
4/29/2023,Libros,6,20,120
10/28/2023,Alimentos,10,10,100
1/30/2023,Juguetes,10,30,300
2/19/2023,Alimentos,4,10,40
2/1/2023,Electrónic,10,200,2000
9/4/2023,Ropa,1,50,50
6/29/2023,Alimentos,10,10,100
4/29/2023,Alimentos,8,10,80
11/11/2023,Alimentos,1,10,10
4/3/2023,Ropa,7,50,350
12/13/2023,Juguetes,8,30,240
7/11/2023,Alimentos,10,10,100
7/1/2023,Electrónic,1,200,200
4/1/2023,Ropa,7,50,350
6/30/2023,Ropa,1,50,50
1/27/2023,Ropa,7,50,350
11/26/2023,Juguetes,8,30,240
8/17/2023,Alimentos,5,10,50
11/3/2023,Alimentos,9,10,90
1/1/2023,Alimentos,3,10,30
7/20/2023,Alimentos,4,10,40
4/21/2023,Electrónic,7,200,1400
8/10/2023,Libros,9,20,180
6/18/2023,Alimentos,9,10,90
7/16/2023,Electrónic,9,200,1800
1/19/2023,Libros,7,20,140
5/15/2023,Alimentos,6,10,60
8/2/2023,Electrónic,1,200,200
10/12/2023,Juguetes,1,30,30
8/5/2023,Electrónic,4,200,800
5/13/2023,Electrónic,7,200,1400
9/11/2023,Electrónic,7,200,1400
12/20/2023,Juguetes,2,30,60
11/12/2023,Libros,1,20,20
9/5/2023,Alimentos,1,10,10
11/29/2023,Juguetes,3,30,90
9/30/2023,Electrónic,9,200,1800
9/27/2023,Libros,7,20,140
11/27/2023,Alimentos,1,10,10
6/28/2023,Libros,6,20,120
12/9/2023,Juguetes,5,30,150
11/26/2023,Libros,7,20,140
10/8/2023,Electrónic,7,200,1400
6/4/2023,Libros,3,20,60
3/9/2023,Ropa,1,50,50
7/10/2023,Libros,6,20,120
5/14/2023,Libros,5,20,100
8/30/2023,Libros,5,20,100
2/27/2023,Ropa,10,50,500
11/26/2023,Libros,6,20,120
3/13/2023,Ropa,6,50,300
6/11/2023,Alimentos,9,10,90
5/18/2023,Electrónic,3,200,600
1/9/2023,Ropa,9,50,450
1/4/2023,Ropa,5,50,250
5/5/2023,Ropa,5,50,250
4/22/2023,Libros,7,20,140
4/2/2023,Juguetes,9,30,270
4/17/2023,Juguetes,8,30,240
3/6/2023,Ropa,7,50,350
9/26/2023,Juguetes,7,30,210
3/23/2023,Alimentos,5,10,50
2/3/2023,Electrónic,10,200,2000
4/9/2023,Juguetes,8,30,240
10/5/2023,Alimentos,10,10,100
10/26/2023,Libros,4,20,80
3/31/2023,Alimentos,6,10,60
10/26/2023,Alimentos,8,10,80
5/8/2023,Electrónic,6,200,1200
10/21/2023,Libros,2,20,40
3/21/2023,Electrónic,3,200,600
12/30/2023,Electrónic,3,200,600
3/18/2023,Alimentos,1,10,10
5/19/2023,Electrónic,7,200,1400
6/24/2023,Alimentos,9,10,90
7/20/2023,Electrónic,3,200,600
8/1/2023,Electrónic,4,200,800
5/17/2023,Ropa,6,50,300
8/22/2023,Electrónic,10,200,2000
7/7/2023,Alimentos,7,10,70
3/26/2023,Libros,6,20,120
5/18/2023,Juguetes,4,30,120
11/5/2023,Alimentos,6,10,60
8/24/2023,Juguetes,6,30,180
12/12/2023,Electrónic,2,200,400
2/17/2023,Alimentos,9,10,90
7/28/2023,Alimentos,10,10,100
4/20/2023,Juguetes,1,30,30
8/8/2023,Ropa,2,50,100
5/27/2023,Libros,10,20,200
10/9/2023,Alimentos,4,10,40
11/9/2023,Libros,5,20,100
12/13/2023,Ropa,6,50,300
8/12/2023,Ropa,8,50,400
3/22/2023,Juguetes,9,30,270
9/8/2023,Alimentos,7,10,70
3/28/2023,Juguetes,8,30,240
8/1/2023,Ropa,10,50,500
9/7/2023,Alimentos,10,10,100
9/18/2023,Ropa,10,50,500
11/30/2023,Alimentos,1,10,10
8/14/2023,Electrónic,10,200,2000
9/27/2023,Electrónic,3,200,600
7/17/2023,Juguetes,8,30,240
5/1/2023,Juguetes,3,30,90
4/27/2023,Ropa,2,50,100
6/30/2023,Juguetes,3,30,90
6/19/2023,Electrónic,9,200,1800
10/23/2023,Juguetes,9,30,270
3/21/2023,Alimentos,10,10,100
10/31/2023,Juguetes,9,30,270
10/1/2023,Libros,6,20,120
2/26/2023,Electrónic,2,200,400
1/15/2023,Libros,9,20,180
9/29/2023,Juguetes,3,30,90
9/23/2023,Ropa,8,50,400
3/7/2023,Juguetes,7,30,210
5/13/2023,Alimentos,2,10,20
5/8/2023,Electrónic,9,200,1800
10/26/2023,Juguetes,7,30,210
11/2/2023,Libros,6,20,120
3/1/2023,Ropa,4,50,200
4/2/2023,Ropa,10,50,500
1/23/2023,Electrónic,4,200,800
2/18/2023,Electrónic,2,200,400
5/14/2023,Electrónic,8,200,1600
5/26/2023,Alimentos,3,10,30
6/27/2023,Electrónic,9,200,1800
3/24/2023,Juguetes,6,30,180
9/5/2023,Libros,3,20,60
11/23/2023,Alimentos,4,10,40
6/8/2023,Ropa,10,50,500
3/1/2023,Libros,7,20,140
4/26/2023,Electrónic,3,200,600
12/17/2023,Electrónic,6,200,1200
8/28/2023,Libros,6,20,120
12/22/2023,Ropa,4,50,200
12/14/2023,Juguetes,6,30,180
10/5/2023,Electrónic,2,200,400
4/25/2023,Electrónic,7,200,1400
2/10/2023,Libros,10,20,200
10/31/2023,Alimentos,6,10,60
10/7/2023,Alimentos,9,10,90
4/10/2023,Alimentos,8,10,80
8/10/2023,Ropa,5,50,250
5/15/2023,Juguetes,10,30,300
9/6/2023,Juguetes,3,30,90
11/13/2023,Alimentos,5,10,50
3/30/2023,Electrónic,1,200,200
5/14/2023,Electrónic,1,200,200
5/27/2023,Alimentos,1,10,10
12/9/2023,Electrónic,7,200,1400
12/7/2023,Juguetes,6,30,180
1/12/2023,Libros,3,20,60
3/30/2023,Ropa,6,50,300
12/25/2023,Electrónic,1,200,200
8/8/2023,Ropa,5,50,250
12/4/2023,Alimentos,3,10,30
1/25/2023,Electrónic,2,200,400
5/14/2023,Electrónic,6,200,1200
5/21/2023,Electrónic,3,200,600
4/12/2023,Alimentos,3,10,30
10/19/2023,Electrónic,10,200,2000
8/11/2023,Electrónic,5,200,1000
9/5/2023,Juguetes,1,30,30
5/29/2023,Alimentos,7,10,70
12/2/2023,Alimentos,3,10,30
9/10/2023,Libros,3,20,60
6/4/2023,Juguetes,5,30,150
9/7/2023,Ropa,3,50,150
4/11/2023,Alimentos,3,10,30
4/20/2023,Juguetes,8,30,240
3/24/2023,Libros,10,20,200
10/29/2023,Alimentos,8,10,80
11/8/2023,Juguetes,10,30,300
10/21/2023,Electrónic,10,200,2000
9/19/2023,Electrónic,9,200,1800
9/12/2023,Electrónic,2,200,400
8/29/2023,Electrónic,2,200,400
1/24/2023,Electrónic,5,200,1000
2/18/2023,Libros,7,20,140
8/30/2023,Ropa,10,50,500
9/24/2023,Electrónic,1,200,200
6/11/2023,Electrónic,7,200,1400
9/22/2023,Libros,3,20,60
8/9/2023,Alimentos,4,10,40
10/14/2023,Ropa,2,50,100
5/3/2023,Electrónic,5,200,1000
9/20/2023,Electrónic,1,200,200
3/8/2023,Electrónic,1,200,200
6/5/2023,Juguetes,6,30,180
11/20/2023,Electrónic,5,200,1000
6/25/2023,Electrónic,10,200,2000
12/31/2023,Electrónic,8,200,1600
12/8/2023,Electrónic,8,200,1600
3/20/2023,Ropa,3,50,150
7/20/2023,Juguetes,7,30,210
2/28/2023,Electrónic,6,200,1200
1/8/2023,Electrónic,10,200,2000
5/26/2023,Alimentos,8,10,80
5/25/2023,Electrónic,5,200,1000
1/19/2023,Ropa,7,50,350
7/8/2023,Libros,1,20,20
4/24/2023,Ropa,7,50,350
6/17/2023,Ropa,9,50,450
7/22/2023,Libros,5,20,100
3/29/2023,Libros,8,20,160
2/26/2023,Electrónic,1,200,200
2/16/2023,Electrónic,1,200,200
6/4/2023,Juguetes,8,30,240
10/8/2023,Ropa,3,50,150
3/26/2023,Ropa,10,50,500
9/7/2023,Libros,5,20,100
1/31/2023,Alimentos,8,10,80
1/12/2023,Juguetes,9,30,270
12/15/2023,Electrónic,9,200,1800
3/28/2023,Libros,6,20,120
6/21/2023,Electrónic,7,200,1400
7/2/2023,Electrónic,3,200,600
8/25/2023,Ropa,9,50,450
4/1/2023,Alimentos,5,10,50
12/21/2023,Electrónic,4,200,800
4/5/2023,Libros,5,20,100
4/4/2023,Electrónic,2,200,400
8/7/2023,Juguetes,4,30,120
4/5/2023,Juguetes,2,30,60
2/5/2023,Electrónic,6,200,1200
3/15/2023,Ropa,4,50,200
1/12/2023,Electrónic,10,200,2000
10/18/2023,Juguetes,2,30,60
1/27/2023,Ropa,3,50,150
6/15/2023,Libros,10,20,200
6/18/2023,Ropa,2,50,100
1/7/2023,Libros,2,20,40
10/7/2023,Electrónic,8,200,1600
6/27/2023,Alimentos,1,10,10
3/9/2023,Electrónic,7,200,1400
10/4/2023,Alimentos,2,10,20
7/25/2023,Ropa,9,50,450
8/31/2023,Alimentos,8,10,80
2/1/2023,Libros,1,20,20
2/19/2023,Libros,3,20,60
7/10/2023,Electrónic,5,200,1000
5/15/2023,Electrónic,5,200,1000
10/13/2023,Ropa,1,50,50
8/18/2023,Ropa,10,50,500
9/19/2023,Juguetes,9,30,270
3/5/2023,Ropa,8,50,400
9/4/2023,Electrónic,1,200,200
6/5/2023,Juguetes,8,30,240
5/20/2023,Ropa,5,50,250
9/10/2023,Ropa,10,50,500
3/12/2023,Juguetes,10,30,300
3/8/2023,Alimentos,3,10,30
12/12/2023,Libros,10,20,200
10/7/2023,Juguetes,1,30,30
1/27/2023,Electrónic,4,200,800
1/14/2023,Libros,2,20,40
7/12/2023,Ropa,5,50,250
11/20/2023,Ropa,1,50,50
8/10/2023,Libros,7,20,140
4/20/2023,Juguetes,9,30,270
1/10/2023,Electrónic,8,200,1600
4/16/2023,Juguetes,5,30,150
6/12/2023,Alimentos,8,10,80
1/27/2023,Ropa,10,50,500
5/8/2023,Electrónic,3,200,600
12/19/2023,Libros,10,20,200
8/28/2023,Ropa,8,50,400
3/19/2023,Alimentos,7,10,70
1/26/2023,Ropa,7,50,350
3/5/2023,Libros,6,20,120
9/6/2023,Ropa,3,50,150
7/29/2023,Ropa,1,50,50
4/27/2023,Alimentos,1,10,10
6/8/2023,Juguetes,4,30,120
9/17/2023,Electrónic,3,200,600
9/2/2023,Alimentos,1,10,10
2/7/2023,Alimentos,7,10,70
4/25/2023,Electrónic,2,200,400
4/20/2023,Ropa,1,50,50
3/14/2023,Juguetes,7,30,210
8/28/2023,Alimentos,2,10,20
12/5/2023,Libros,4,20,80
4/20/2023,Juguetes,3,30,90
2/17/2023,Electrónic,4,200,800
6/17/2023,Libros,2,20,40
7/4/2023,Electrónic,2,200,400
10/8/2023,Ropa,3,50,150
1/19/2023,Juguetes,6,30,180
5/1/2023,Libros,8,20,160
9/13/2023,Ropa,9,50,450
10/4/2023,Ropa,5,50,250
7/29/2023,Libros,4,20,80
1/5/2023,Ropa,9,50,450
7/17/2023,Alimentos,3,10,30
7/9/2023,Libros,4,20,80
2/4/2023,Alimentos,6,10,60
3/9/2023,Ropa,3,50,150
6/18/2023,Ropa,3,50,150
5/22/2023,Alimentos,9,10,90
7/19/2023,Ropa,1,50,50
11/21/2023,Ropa,8,50,400
8/22/2023,Electrónic,8,200,1600
5/3/2023,Ropa,4,50,200
3/2/2023,Libros,2,20,40
3/21/2023,Juguetes,10,30,300
3/29/2023,Ropa,4,50,200
9/13/2023,Juguetes,4,30,120
5/6/2023,Electrónic,1,200,200
10/1/2023,Libros,5,20,100
8/31/2023,Alimentos,9,10,90
6/12/2023,Juguetes,8,30,240
1/25/2023,Libros,1,20,20
7/1/2023,Ropa,5,50,250
3/28/2023,Libros,4,20,80
6/21/2023,Electrónic,8,200,1600
7/15/2023,Juguetes,3,30,90
2/28/2023,Libros,1,20,20
6/14/2023,Alimentos,7,10,70
11/15/2023,Libros,1,20,20
8/7/2023,Alimentos,5,10,50
8/19/2023,Ropa,9,50,450
1/21/2023,Alimentos,1,10,10
6/29/2023,Ropa,10,50,500
1/19/2023,Ropa,3,50,150
11/4/2023,Libros,5,20,100
5/12/2023,Electrónic,5,200,1000
5/29/2023,Libros,2,20,40
8/14/2023,Juguetes,9,30,270
2/25/2023,Ropa,8,50,400
4/19/2023,Electrónic,3,200,600
10/8/2023,Juguetes,6,30,180
11/25/2023,Juguetes,1,30,30
5/10/2023,Alimentos,8,10,80
8/7/2023,Ropa,6,50,300
12/5/2023,Libros,10,20,200
9/8/2023,Libros,3,20,60
5/8/2023,Alimentos,4,10,40
4/17/2023,Juguetes,5,30,150
2/4/2023,Libros,2,20,40
12/30/2023,Ropa,7,50,350
6/28/2023,Libros,2,20,40
4/25/2023,Alimentos,9,10,90
4/11/2023,Juguetes,4,30,120
10/4/2023,Libros,4,20,80
5/8/2023,Alimentos,4,10,40
6/19/2023,Alimentos,3,10,30
4/20/2023,Alimentos,3,10,30
2/19/2023,Libros,1,20,20
12/16/2023,Libros,10,20,200
3/31/2023,Alimentos,4,10,40
10/11/2023,Ropa,10,50,500
10/22/2023,Juguetes,1,30,30
10/1/2023,Ropa,2,50,100
4/10/2023,Ropa,4,50,200
4/28/2023,Alimentos,4,10,40
8/15/2023,Electrónic,1,200,200
11/22/2023,Alimentos,9,10,90
5/9/2023,Libros,4,20,80
7/8/2023,Ropa,5,50,250
8/21/2023,Alimentos,8,10,80
1/1/2023,Libros,8,20,160
4/1/2023,Ropa,10,50,500
8/8/2023,Alimentos,3,10,30
10/6/2023,Ropa,1,50,50
12/27/2023,Electrónic,8,200,1600
7/31/2023,Ropa,8,50,400
12/18/2023,Alimentos,9,10,90
12/26/2023,Ropa,7,50,350
1/27/2023,Juguetes,8,30,240
1/3/2023,Juguetes,8,30,240
4/21/2023,Alimentos,3,10,30
11/20/2023,Alimentos,2,10,20
3/26/2023,Juguetes,5,30,150
2/9/2023,Juguetes,10,30,300
5/14/2023,Electrónic,2,200,400
11/17/2023,Ropa,2,50,100
10/22/2023,Juguetes,10,30,300
12/9/2023,Alimentos,4,10,40
11/3/2023,Juguetes,3,30,90
12/10/2023,Alimentos,4,10,40
7/15/2023,Electrónic,2,200,400
12/21/2023,Electrónic,6,200,1200
11/5/2023,Juguetes,4,30,120
10/15/2023,Ropa,8,50,400
1/3/2023,Electrónic,9,200,1800
2/14/2023,Libros,3,20,60
11/21/2023,Ropa,6,50,300
3/6/2023,Ropa,3,50,150
7/12/2023,Libros,7,20,140
7/20/2023,Alimentos,1,10,10
3/27/2023,Alimentos,8,10,80
6/25/2023,Alimentos,6,10,60
9/20/2023,Juguetes,5,30,150
